name	taxonomy_id	taxonomy_lvl	C10_S21_R3._num	C10_S21_R3._frac	C1_S12_R3._num	C1_S12_R3._frac	C2_S13_R3._num	C2_S13_R3._frac	C3_S14_R3._num	C3_S14_R3._frac	C4_S15_R3._num	C4_S15_R3._frac	C5_S16_R3._num	C5_S16_R3._frac	C6_S17_R3._num	C6_S17_R3._frac	C7_S18_R3._num	C7_S18_R3._frac	C9_S20_R3._num	C9_S20_R3._frac	Post_Cntl_R3._num	Post_Cntl_R3._frac	S10_S11_R3._num	S10_S11_R3._frac	S1_S2_R3._num	S1_S2_R3._frac	S2_S3_R3._num	S2_S3_R3._frac	S3_S4_R3._num	S3_S4_R3._frac	S4_S5_R3._num	S4_S5_R3._frac	S5_S6_R3._num	S5_S6_R3._frac	S6_S7_R3._num	S6_S7_R3._frac	S7_S8_R3._num	S7_S8_R3._frac	S8_S9_R3._num	S8_S9_R3._frac	S9_S10_R3._num	S9_S10_R3._frac
Bacteria incertae sedis	2323	R3	12056	0.01384	103647	0.10336	149755	0.11010	68142	0.07916	86231	0.08514	91899	0.07500	94233	0.09510	114644	0.10886	17648	0.01481	0	0.00000	183344	0.06743	544415	0.24008	93888	0.02968	652832	0.21298	54280	0.02668	608137	0.13899	76564	0.07046	68483	0.03994	107429	0.09164	67514	0.02547
delta/epsilon subdivisions	68525	R3	1263	0.00145	16688	0.01664	16594	0.01220	10429	0.01211	11967	0.01182	10211	0.00833	17464	0.01762	17624	0.01674	1563	0.00131	0	0.00000	28653	0.01054	16575	0.00731	20210	0.00639	24046	0.00784	12498	0.00614	55845	0.01276	11380	0.01047	16652	0.00971	25498	0.02175	15479	0.00584
unclassified Bacteria	49928	R3	17340	0.01990	531077	0.52962	831963	0.61164	561232	0.65196	424698	0.41932	823734	0.67227	492990	0.49753	488218	0.46360	35265	0.02959	0	0.00000	1955535	0.71915	1199658	0.52903	2699401	0.85322	1697263	0.55371	1747609	0.85908	3014757	0.68903	777389	0.71545	1301698	0.75916	729296	0.62208	2266505	0.85521
environmental samples	48479	R3	600764	0.68943	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	816195	0.68486	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Opisthokonta	33154	R3	193466	0.22202	301560	0.30073	311355	0.22890	190473	0.22127	240240	0.23720	258331	0.21083	336529	0.33963	379276	0.36015	259458	0.21771	269603	0.87780	482257	0.17735	390519	0.17221	302118	0.09549	527639	0.17214	189605	0.09321	613768	0.14028	193759	0.17832	283641	0.16542	267870	0.22849	261720	0.09875
Sar	2698737	R3	11643	0.01336	18467	0.01842	18071	0.01329	11844	0.01376	14564	0.01438	15615	0.01274	20762	0.02095	22423	0.02129	15203	0.01276	34360	0.11187	33220	0.01222	27028	0.01192	20121	0.00636	36776	0.01200	12378	0.00608	29828	0.00682	13417	0.01235	18252	0.01064	16772	0.01431	17525	0.00661
Metamonada	2611341	R3	3200	0.00367	4573	0.00456	10147	0.00746	2783	0.00323	12428	0.01227	3914	0.00319	6021	0.00608	4894	0.00465	4020	0.00337	59	0.00019	7273	0.00267	5039	0.00222	4299	0.00136	6654	0.00217	2796	0.00137	5287	0.00121	3053	0.00281	4042	0.00236	3400	0.00290	3885	0.00147
Discoba	2611352	R3	1864	0.00214	2878	0.00287	2830	0.00208	1875	0.00218	2330	0.00230	2452	0.00200	2414	0.00244	2956	0.00281	2658	0.00223	0	0.00000	3677	0.00135	4080	0.00180	2767	0.00087	5705	0.00186	1878	0.00092	8515	0.00195	1515	0.00139	3397	0.00198	2515	0.00215	2094	0.00079
Amoebozoa	554915	R3	28699	0.03293	23272	0.02321	18589	0.01367	13404	0.01557	219658	0.21688	18438	0.01505	19878	0.02006	21933	0.02083	30885	0.02592	3112	0.01013	23434	0.00862	78872	0.03478	19441	0.00614	106102	0.03461	12313	0.00605	36018	0.00823	9010	0.00829	17325	0.01010	17939	0.01530	15093	0.00570
unclassified Riboviria	2585030	R3	70	0.00008	120	0.00012	87	0.00006	80	0.00009	70	0.00007	95	0.00008	158	0.00016	112	0.00011	83	0.00007	0	0.00000	742	0.00027	121	0.00005	568	0.00018	1099	0.00036	342	0.00017	1620	0.00037	300	0.00028	418	0.00024	477	0.00041	63	0.00002
unclassified DNA viruses	2204151	R3	1022	0.00117	465	0.00046	831	0.00061	572	0.00066	638	0.00063	621	0.00051	435	0.00044	1033	0.00098	8787	0.00737	0	0.00000	1084	0.00040	1362	0.00060	954	0.00030	7127	0.00233	574	0.00028	1611	0.00037	194	0.00018	757	0.00044	1161	0.00099	339	0.00013
